12,12,12,12,-1,-1,-1,-1,-1,16,18,18,16,-1,-1,-1,-1,-1,-1,21,21
-1,-1,-1,-1,-1,-1,-1,16,-1,-1,18,18,-1,-1,-1,-1,-1,-1,12,12,12
-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,12,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16
19,-1,-1,12,12,12,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20
19,-1,16,21,12,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20
19,-1,-1,12,12,12,-1,-1,-1,-1,14,12,12,9,-1,-1,-1,-1,-1,20,20
19,-1,-1,12,12,12,-1,-1,-1,-1,21,21,21,21,-1,-1,-1,-1,-1,20,20
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,12,12,-1,-1,-1,-1,-1,12,14,14
12,12,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1,12,12,14
12,12,12,12,-1,11,-1,16,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,14,12,12
