-1,-1,-1,-1,-1,-1,16,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,21,-1,-1,7
-1,-1,-1,-1,-1,-1,-1,-1,-1,21,21,21,-1,14,14,-1,-1,17,-1,-1,-1
-1,-1,-1,14,14,-1,-1,-1,-1,-1,17,-1,-1,14,14,-1,-1,21,-1,-1,-1
-1,-1,-1,14,14,-1,16,-1,-1,-1,21,-1,-1,16,-1,-1,-1,21,21,17,21
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,13,-1,-1
-1,-1,-1,-1,-1,-1,16,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,17,21,21,-1,-1,-1,-1,-1,21,21,21,-1,16,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,21,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,17,-1,-1,16,-1,-1,-1,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,-1,-1,21,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
