17,-1,17,-1,-1,11,-1,-1,17,-1,17,14,-1,-1,17,-1,-1,7,17,-1,-1
14,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,17,-1,-1,17,-1,-1,17,-1
-1,-1,-1,17,-1,16,-1,-1,-1,-1,10,16,-1,-1,17,-1,-1,-1,-1,-1,-1
-1,-1,6,-1,-1,17,-1,-1,17,-1,17,-1,17,-1,-1,-1,-1,17,-1,17,-1
17,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1
-1,-1,16,-1,-1,17,-1,6,-1,-1,17,-1,17,-1,17,-1,17,-1,13,17,-1
6,-1,17,-1,10,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,17,16,-1,-1,17,-1,-1,17,-1,-1,-1,17,-1,-1,-1
-1,-1,-1,17,6,-1,-1,-1,-1,10,-1,-1,16,-1,-1,17,-1,-1,17,-1,17
-1,6,-1,-1,-1,17,-1,-1,-1,17,17,-1,-1,-1,-1,-1,-1,16,-1,14,-1
17,-1,-1,17,-1,-1,-1,14,17,-1,-1,-1,17,-1,17,-1,-1,17,-1,-1,17
